date,market_excess_returns,SMB,HML,risk_free_rate,amazon_price
20180501,0.24,0.22,-0.53,0.006,169.1
20180502,-0.63,1.26,-0.28,0.006,176.57
20180503,-0.25,-0.5,-0.17,0.006,176.89
20180504,1.3,0.03,-0.23,0.006,183.83
20180507,0.42,0.42,-0.36,0.006,185.16
20180508,0.07,0.48,0.26,0.006,186.05
20180509,0.89,-0.19,0.24,0.006,187.36
20180510,0.84,-0.43,-0.04,0.006,190.04
20180511,0.19,0.11,-0.37,0.006,188.59
20180514,0.05,-0.35,0.11,0.006,188.15
20180515,-0.55,0.68,0.41,0.006,186.44
20180516,0.49,0.7,-0.24,0.006,188.18
20180517,0.02,0.9,0.25,0.006,186.99
20180518,-0.23,0.56,-0.58,0.006,186.31
20180521,0.72,-0.21,0.43,0.006,187.63
20180522,-0.42,-0.75,0.59,0.006,187.16
20180523,0.29,0.05,-0.71,0.006,188.36
20180524,-0.16,0.34,-0.31,0.006,188.15
20180525,-0.21,0.23,-0.4,0.006,188.58
20180529,-1.03,1.32,-1.03,0.006,187.9
20180530,1.31,0.06,0.35,0.006,187.5
20180531,-0.7,0.07,-0.4,0.006,186.87
20180601,1.06,-0.22,-0.13,0.006,190.24
20180604,0.48,0.17,-0.46,0.006,191.83
20180605,0.16,0.82,-0.41,0.006,193.31
20180606,0.86,-0.34,0.17,0.006,193.98
20180607,-0.14,-0.29,0.92,0.006,193.46
20180608,0.31,0.08,-0.4,0.006,191.7
20180611,0.12,0.18,-0.16,0.006,191.23
20180612,0.23,0.24,-0.61,0.006,192.28
20180613,-0.33,0.1,-0.21,0.006,190.7
20180614,0.27,0.32,-0.99,0.006,190.8
20180615,-0.08,0.04,-0.24,0.006,188.84
20180618,-0.09,0.74,0.09,0.006,188.74
20180619,-0.38,0.56,-0.18,0.006,185.69
20180620,0.23,0.73,-0.52,0.006,186.5
20180621,-0.73,-0.63,0.32,0.006,185.46
20180622,0.11,0.01,0.44,0.006,184.92
20180625,-1.48,-0.56,0.55,0.006,182.17
20180626,0.27,0.61,-0.19,0.006,184.43
20180627,-1.02,-0.99,0.39,0.006,184.16
20180628,0.58,-0.19,-0.51,0.006,185.5
